"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","Gate length (ns)","CZ error","RZZ error","MEASURE error","Operational"
"58","153.27458446613952","149.61044110831625","0.011474609375","0.01416015625","0.0087890625","1560","0.00038025822146408884","24","0.00038025822146408884","0","0.00038025822146408884","0.00038025822146408884","71:68;51:68","71:0.0026036890276118496;51:0.0024462700253803094","71:0.001815375937283037;51:0.002086158189259335","0.011474609375","Yes"
"59","161.0590137132124","143.32040298674767","0.0074462890625","0.009521484375","0.00537109375","1560","0.0005237280696357775","24","0.0005237280696357775","0","0.0005237280696357775","0.0005237280696357775","55:68;75:68","55:0.002240956845599773;75:0.0028031255884931328","55:0.0020340834267608687;75:0.002689463831946598","0.0074462890625","Yes"
"60","194.4986763333295","60.13018169368838","0.05078125","0.053955078125","0.047607421875","1560","0.0003017180504097045","24","0.0003017180504097045","0","0.0003017180504097045","0.0003017180504097045","61:68","61:0.0021391968369054992","61:0.0017580600877872554","0.05078125","Yes"
"61","200.6154969980767","97.27570355637377","0.0625","0.06591796875","0.060546875","1560","0.00015855566431184862","24","0.00015855566431184862","0","0.00015855566431184862","0.00015855566431184862","76:68;60:68;62:68","76:0.002271333213321708;60:0.0021391968369054992;62:0.00306415294011278","76:0.003345774336256213;60:0.0017580600877872554;62:0.0026286878968941607","0.0625","Yes"
"62","181.28748392299468","52.632445111306204","0.02880859375","0.02880859375","0.02880859375","1560","0.0002100017962321943","24","0.0002100017962321943","0","0.0002100017962321943","0.0002100017962321943","61:68;63:68","61:0.00306415294011278;63:0.00708988878161515","61:0.0026286878968941607;63:0.008559735080040903","0.02880859375","Yes"
"63","206.97432436754966","22.66002215042406","0.0574951171875","0.068359375","0.046630859375","1560","0.0005950451426357152","24","0.0005950451426357152","0","0.0005950451426357152","0.0005950451426357152","56:68;62:68;64:68","56:0.00446510839906758;62:0.00708988878161515;64:0.04127226725125199","56:0.005748294992503594;62:0.008559735080040903;64:0.05907065237364206","0.0574951171875","Yes"
"64","141.82447785702675","107.32949278785394","0.006591796875","0.009765625","0.00341796875","1560","0.00025821640073296783","24","0.00025821640073296783","0","0.00025821640073296783","0.00025821640073296783","65:68;63:68","65:0.0028989729405148046;63:0.04127226725125199","65:0.002599789392640578;63:0.05907065237364206","0.006591796875","Yes"
"65","195.25467156065667","118.04426726308263","0.09326171875","0.09619140625","0.09033203125","1560","0.00029720988679268013","24","0.00029720988679268013","0","0.00029720988679268013","0.00029720988679268013","64:68;66:68;77:68","64:0.0028989729405148046;66:0.002650103406133031;77:0.0038739164565326223","64:0.002599789392640578;66:0.0027335328651073576;77:0.003233675661747981","0.09326171875","Yes"
"66","104.79681484254561","18.430967365454222","0.0081787109375","0.008544921875","0.0078125","1560","0.00026253436091083765","24","0.00026253436091083765","0","0.00026253436091083765","0.00026253436091083765","65:68;67:68","65:0.002650103406133031;67:0.002861883341316901","65:0.0027335328651073576;67:0.0032725244589036917","0.0081787109375","Yes"
"67","64.24477330590541","48.26389549406582","0.0550537109375","0.05419921875","0.055908203125","1560","0.0002713821885429441","24","0.0002713821885429441","0","0.0002713821885429441","0.0002713821885429441","68:68;57:68;66:68","68:0.0031664361197854263;57:0.011854135557646778;66:0.002861883341316901","68:0.0024964085657289137;57:0.008815847098619961;66:0.0032725244589036917","0.0550537109375","Yes"
"68","121.2335400698682","106.14927646662399","0.01611328125","0.018798828125","0.013427734375","1560","0.0003814274995651522","24","0.0003814274995651522","0","0.0003814274995651522","0.0003814274995651522","67:68;69:68","67:0.0031664361197854263;69:0.0034728907747779703","67:0.0024964085657289137;69:0.004786556025788091","0.01611328125","Yes"
"69","140.28427002751138","84.28778619031839","0.0323486328125","0.0390625","0.025634765625","1560","0.00024544081954328196","24","0.00024544081954328196","0","0.00024544081954328196","0.00024544081954328196","78:68;68:68;70:68","78:0.001957067654347805;68:0.0034728907747779703;70:0.004919629267415293","78:0.002533724910250501;68:0.004786556025788091;70:0.003079109807197389","0.0323486328125","Yes"
"70","82.26662126650983","80.30836459270512","0.0072021484375","0.012451171875","0.001953125","1560","0.0004293730399749343","24","0.0004293730399749343","0","0.0004293730399749343","0.0004293730399749343","69:68;71:68","69:0.004919629267415293;71:0.003515327100785004","69:0.003079109807197389;71:0.002880856539801302","0.0072021484375","Yes"
"71","115.68355567372485","103.46336584169235","0.0135498046875","0.020263671875","0.0068359375","1560","0.000313922825667819","24","0.000313922825667819","0","0.000313922825667819","0.000313922825667819","72:68;58:68;70:68","58:0.0026036890276118496;70:0.003515327100785004","58:0.001815375937283037;70:0.002880856539801302","0.0135498046875","Yes"
"72","11.393168537216084","99.15649886504495","0.44677734375","0.684326171875","0.209228515625","1560","","24","","0","","","73:68;71:68","","","0.44677734375","Yes"
"73","167.6594444292323","76.29232733375893","0.014404296875","0.0146484375","0.01416015625","1560","0.00021737735895694302","24","0.00021737735895694302","0","0.00021737735895694302","0.00021737735895694302","72:68;74:68;79:68","74:0.0024228432957429658;79:0.003070614776323227","74:0.0021254504953174824;79:0.002155190206026808","0.014404296875","Yes"
"74","138.87437939282148","122.69521652449008","0.0064697265625","0.007568359375","0.00537109375","1560","0.00028531143713166957","24","0.00028531143713166957","0","0.00028531143713166957","0.00028531143713166957","73:68;75:68","73:0.0024228432957429658;75:0.002371113939178021","73:0.0021254504953174824;75:0.0020285802368648354","0.0064697265625","Yes"
"75","153.35257276621869","141.9750131650407","0.0091552734375","0.01171875","0.006591796875","1560","0.0003462132699903841","24","0.0003462132699903841","0","0.0003462132699903841","0.0003462132699903841","59:68;74:68","59:0.0028031255884931328;74:0.002371113939178021","59:0.002689463831946598;74:0.0020285802368648354","0.0091552734375","Yes"
"76","213.24962369209334","103.38254350774291","0.0394287109375","0.043212890625","0.03564453125","1560","0.00034856742506974626","24","0.00034856742506974626","0","0.00034856742506974626","0.00034856742506974626","81:68;61:68","81:0.0021624673809347295;61:0.002271333213321708","81:0.0019312640358455646;61:0.003345774336256213","0.0394287109375","Yes"
"77","145.18161144851857","47.966068078148034","0.0140380859375","0.02001953125","0.008056640625","1560","0.0003980014976865813","24","0.0003980014976865813","0","0.0003980014976865813","0.0003980014976865813","85:68;65:68","85:0.0025810364127572816;65:0.0038739164565326223","85:0.0026366128816703305;65:0.003233675661747981","0.0140380859375","Yes"
"78","118.32945104069658","96.3869676558112","0.022705078125","0.0224609375","0.02294921875","1560","0.00026520392103850815","24","0.00026520392103850815","0","0.00026520392103850815","0.00026520392103850815","69:68;89:68","69:0.001957067654347805;89:0.0030964680667417144","69:0.002533724910250501;89:0.0023212452039656495","0.022705078125","Yes"
"79","61.026819125684504","38.21805126394274","0.0098876953125","0.01123046875","0.008544921875","1560","0.00027332930670561755","24","0.00027332930670561755","0","0.00027332930670561755","0.00027332930670561755","93:68;73:68","93:0.0029911517355261374;73:0.003070614776323227","93:0.002503305568709313;73:0.002155190206026808","0.0098876953125","Yes"
"80","185.95558539695375","168.11877973179153","0.026611328125","0.026611328125","0.026611328125","1560","0.0002290791802055919","24","0.0002290791802055919","0","0.0002290791802055919","0.0002290791802055919","81:68","81:0.0020635281377206494","81:0.0027391169244085634","0.026611328125","Yes"
"81","156.96297103479736","18.594990528730026","0.034423828125","0.0380859375","0.03076171875","1560","0.00017424484767072904","24","0.00017424484767072904","0","0.00017424484767072904","0.00017424484767072904","80:68;82:68;76:68","80:0.0020635281377206494;82:0.002069564820922881;76:0.0021624673809347295","80:0.0027391169244085634;82:0.0022774266292377165;76:0.0019312640358455646","0.034423828125","Yes"
"82","104.18709722214159","24.0149105285756","0.0120849609375","0.017578125","0.006591796875","1560","0.0003527724117472727","24","0.0003527724117472727","0","0.0003527724117472727","0.0003527724117472727","81:68;83:68","81:0.002069564820922881;83:0.007295129756308694","81:0.0022774266292377165;83:0.002565220772038468","0.0120849609375","Yes"
"83","148.80392308893062","158.18280540425224","0.217041015625","0.239990234375","0.194091796875","1560","0.00018523317589605963","24","0.00018523317589605963","0","0.00018523317589605963","0.00018523317589605963","96:68;82:68;84:68","96:0.0018968315870401264;82:0.007295129756308694;84:0.0023532884972942147","96:0.0019009311381323057;82:0.002565220772038468;84:0.0024232602938370207","0.217041015625","Yes"
