"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","MEASURE error","MEASURE_2 error","Operational"
"32","306.041243844682","337.4437305659756","0.0203857421875","0.023193359375","0.017578125","2280","0.00014531018245647826","32","0.00014531018245647826","0","0.00014531018245647826","0.00014531018245647826","31:0.0019526054664782688;33:0.0026210965746706616","31:68;33:68","31:0.0022366606033046854;33:0.0017016494809657945","0.0203857421875","0.01220703125","Yes"
"33","312.6808587287055","552.8911176571385","0.0123291015625","0.01171875","0.012939453125","2280","0.0002088554745976246","32","0.0002088554745976246","0","0.0002088554745976246","0.0002088554745976246","39:0.005345413893881712;32:0.0026210965746706616;34:0.002815763482152872","39:68;32:68;34:108","39:0.0014983273553992593;32:0.0017016494809657945;34:0.0017566433722719377","0.0123291015625","0.010986328125","Yes"
"34","281.7414849689252","307.898835358126","0.0274658203125","0.0234375","0.031494140625","2280","0.00020982581204820235","32","0.00020982581204820235","0","0.00020982581204820235","0.00020982581204820235","33:0.002815763482152872;35:0.0018654281314212096","33:108;35:68","33:0.0017566433722719377;35:0.0012927405523436852","0.0274658203125","0.033447265625","Yes"
"35","255.4289503720117","279.09876383649873","0.018310546875","0.02294921875","0.013671875","2280","0.00009611486854678046","32","0.00009611486854678046","0","0.00009611486854678046","0.00009611486854678046","19:0.002415666293691804;34:0.0018654281314212096","19:68;34:68","19:0.0015938603278784491;34:0.0012927405523436852","0.018310546875","0.02294921875","Yes"
"36","257.73563454615976","233.33548019323354","0.0145263671875","0.017333984375","0.01171875","2280","0.0002142671850604703","32","0.0002142671850604703","0","0.0002142671850604703","0.0002142671850604703","41:0.0022431811321304007;21:0.0013274073942642073","41:68;21:68","41:0.0020517630717518665;21:0.0013055834292755308","0.0145263671875","0.005859375","Yes"
"37","162.54779752735493","24.75506944908551","0.0079345703125","0.013671875","0.002197265625","2280","0.0003421546528301773","32","0.0003421546528301773","0","0.0003421546528301773","0.0003421546528301773","45:0.0019471623058001652;25:0.002074466956477783","45:68;25:68","45:0.0019430357781178575;25:0.0021591558358441676","0.0079345703125","0.005859375","Yes"
"38","301.9353305209057","117.64168121676555","0.006103515625","0.010498046875","0.001708984375","2280","0.00023372120752522207","32","0.00023372120752522207","0","0.00023372120752522207","0.00023372120752522207","29:0.012629865319579825;49:0.0022044581825256537","29:68;49:68","29:0.004470517850089867;49:0.0018243180285938687","0.006103515625","0.00634765625","Yes"
"39","212.7063750076085","114.71763146868446","0.0091552734375","0.011474609375","0.0068359375","2280","0.0001837103725095181","32","0.0001837103725095181","0","0.0001837103725095181","0.0001837103725095181","53:0.001208032594708336;33:0.005345413893881712","53:68;33:68","53:0.0013146296987544548;33:0.0014983273553992593","0.0091552734375","0.02685546875","Yes"
"40","285.81348344319747","47.729111895329886","0.0093994140625","0.007568359375","0.01123046875","2280","0.0003942990747561358","32","0.0003942990747561358","0","0.0003942990747561358","0.0003942990747561358","41:0.0030047929788125927","41:68","41:0.002907433349420091","0.0093994140625","0.019775390625","Yes"
"41","407.60433438285185","38.66259735064843","0.0078125","0.01171875","0.00390625","2280","0.00031599797705006134","32","0.00031599797705006134","0","0.00031599797705006134","0.00031599797705006134","40:0.0030047929788125927;42:0.006015380881481458;36:0.0022431811321304007","40:68;42:68;36:68","40:0.002907433349420091;42:0.004453456424695135;36:0.0020517630717518665","0.0078125","0.005615234375","Yes"
"42","288.6224505740886","85.84085386187736","0.015625","0.022216796875","0.009033203125","2280","0.00033042225907721246","32","0.00033042225907721246","0","0.00033042225907721246","0.00033042225907721246","41:0.006015380881481458;43:0.00802925130761839","41:68;43:68","41:0.004453456424695135;43:0.007636988405401307","0.015625","0.003662109375","Yes"
"43","278.7549205826803","35.621044816492926","0.00439453125","0.007080078125","0.001708984375","2280","0.0004957184379500634","32","0.0004957184379500634","0","0.0004957184379500634","0.0004957184379500634","42:0.00802925130761839;56:0.00463935921460093;44:0.0029863511609784232","42:68;56:68;44:68","42:0.007636988405401307;56:0.003986718124066896;44:0.005106446065906239","0.00439453125","0.00830078125","Yes"
"44","274.27669798676766","259.3004102466636","0.0045166015625","0.0068359375","0.003173828125","2280","0.0001392056886631133","32","0.0001392056886631133","0","0.0001392056886631133","0.0001392056886631133","45:0.0021777798743166654;43:0.0029863511609784232","45:68;43:68","45:0.0020705139858222255;43:0.005106446065906239","0.0045166015625","0.00390625","Yes"
